held_out,launch_day,comp,days,failures_seen,exposure_seen,exposure_remaining,actual_remaining,full_year_rate,rate_platform_only,rate_fleet_average,rate_hierarchical,pred_platform_only,pred_fleet_average,pred_hierarchical,hier_rate_p10,hier_rate_p90,pred_p10,pred_p90,covered
model1,30,comp1,15,1,1.2598702100485075,22.14038510528469,26,1.1538335644700441,0.7937325543728017,1.2250131806007476,0.9235669965535065,17.573544424415147,27.122263577550214,20.44812897422577,0.2233843570276356,1.8468198529370519,4.0,42.0,True
model1,30,comp2,15,1,1.8043498607784456,31.973766258734933,42,1.2730135643994427,0.5542162425022013,1.2250131806007476,0.7267652692836399,17.72038059455974,39.168285100397746,23.237422845041653,0.16939705382971063,1.4377380454737243,5.0,47.0,True
model1,30,comp3,15,3,0.8126422397733645,8.275561937888678,58,6.711997090682921,3.6916614140518487,1.2250131806007476,2.4935769477298986,30.550572685699777,10.137672450791497,20.635750477830175,1.038620333871918,4.277788241709409,8.0,37.0,False
model1,30,comp4,15,1,1.9493495974661408,15.93466762732517,36,2.068886399231913,0.5129916159214584,1.2250131806007476,0.68800597809012,8.174350895312891,19.520177871965377,10.963146586478825,0.16327592092940893,1.357773976722279,2.0,23.0,False
model1,30,comp1,30,2,2.297434568679164,21.102820746654032,25,1.1538335644700441,0.8705362177734774,1.2250131806007476,0.9359996762696607,18.370769757143872,25.8512335625061,19.752233387244853,0.32742908316265623,1.6859059210963245,6.0,37.0,True
model1,30,comp2,30,2,3.4899399480307656,30.28817617148261,41,1.2730135643994427,0.5730757634177976,1.2250131806007476,0.6744291721533676,17.357419682005144,37.10341502642369,20.427229581368373,0.2373792575044013,1.2194326424667117,6.0,38.0,False
model1,30,comp3,30,4,1.5979238792225285,7.490280298439514,57,6.711997090682921,2.5032481534390763,1.2250131806007476,2.064266853120521,18.750030325809806,9.175692091982507,15.46193734065037,0.9720328352581382,3.351296016333635,6.0,27.0,False
model1,30,comp4,30,2,3.2518304906997457,14.632186734091565,35,2.068886399231913,0.6150382087012259,1.2250131806007476,0.7141657774849398,8.999353918317517,17.924621610273572,10.449807015257324,0.2501385599479509,1.2794047126498616,3.0,20.0,False
model1,30,comp1,60,2,4.97735050647017,18.422904808863027,25,1.1538335644700441,0.4018202048258717,1.2250131806007476,0.5008450315163534,7.402695383784879,22.568301215810106,9.227020339617782,0.17291594811645566,0.8939603882216686,2.0,18.0,False
model1,30,comp2,60,4,6.6226334751137905,27.155482644399587,39,1.2730135643994427,0.6039893367239793,1.2250131806007476,0.6594699757118836,16.401621950810437,33.265824164964336,17.908225479946672,0.3143994797510158,1.0595499292646808,7.0,30.0,False
