machineID,volt,rotate,pressure,vibration,errors
1,171.26232472214838,448.1455059183076,100.9335743282824,40.396816674832415,3.812154696132597
2,170.6692069184693,445.10315615420006,100.12819995627343,40.47004884868506,2.4861878453038675
3,170.57006798173697,448.60687580719554,100.73078846112776,40.36033544093584,2.8176795580110494
4,170.58747657104064,446.6114064031318,100.32683389883859,40.4209117973903,2.8176795580110494
5,171.41004717235748,446.7838117207167,100.39139351237068,40.49413317373,3.1491712707182318
6,170.28469278296657,448.49660990007186,100.66041597856704,40.4421196574313,1.8232044198895028
7,171.62098404275477,446.9321864113885,100.498640844324,40.69693753146792,3.1491712707182318
8,171.29632623400042,446.5315269562762,100.42150470127196,40.38787361438495,3.1491712707182318
9,170.73367209977624,447.00323178989385,101.07175147492367,40.51821794393146,2.8176795580110494
10,170.905375141464,446.38489508651,100.18707877416476,40.419873815495336,4.640883977900552
11,170.622124329067,444.23961952757963,100.85736484321292,40.103843665457596,2.983425414364641
12,171.0149982408964,446.92965074316277,100.2748639333636,40.16447497623471,2.983425414364641
13,170.17248526839234,447.6927733786816,101.71861336089148,40.58510612479597,2.983425414364641
14,171.06727332361663,444.57367550921924,100.54198036031188,40.53532575361307,3.812154696132597
15,170.92769636457894,444.0808809368943,100.64481059458451,40.34103937472385,3.9779005524861875
16,170.91386459044918,448.0401272848629,101.22378059824979,40.43010382767873,4.30939226519337
17,171.13089522497887,446.83126015804817,101.81729111122296,40.42708163534733,3.812154696132597
18,170.67735526509313,447.1359125046455,100.9172175190467,40.63736438035565,4.475138121546961
19,170.63210119126498,447.6881216250321,100.9335167313613,40.76997596272821,2.320441988950276
20,171.01053590255424,446.6877236536621,101.30084013133954,40.64267316497864,4.30939226519337
21,171.50304527865958,446.4249996217996,100.32745931848413,40.09388065730856,1.8232044198895028
22,171.52402893663373,443.8043420331826,101.32247587842569,40.57727908362556,4.30939226519337
23,170.78532173888004,447.65734175437746,100.83958060348449,40.62892388473217,2.8176795580110494
24,171.17159425166804,447.21973273285016,100.46932756326942,40.36169616028013,1.8232044198895028
25,171.0772426772582,447.3994873709385,100.28306344348385,40.46831799149844,3.812154696132597
26,170.61933186891332,447.3219114932271,100.85284328623253,40.215382959388364,2.6519337016574585
27,170.98980439355603,443.869078904598,100.76508934832205,40.43588938027785,3.480662983425414
28,170.12448693719173,445.256660059524,100.45897347590464,39.875325342905,3.812154696132597
29,170.73077708607363,449.19965460587133,100.56866512645793,40.24862496373664,3.9779005524861875
30,170.25395796668437,446.70264691811803,100.32832965964398,40.66506304236966,3.1491712707182318
31,170.50510512428542,447.27823135083634,101.26976637018794,39.98976100246214,1.4917127071823204
32,171.0855514926346,443.4678596998511,100.44327698903126,40.66552291721756,3.314917127071823
33,171.0745892908472,446.7709656477523,101.1363334631444,40.675024538851126,2.983425414364641
34,170.78175114702674,448.6527404445538,101.28945934046914,40.37778681706641,1.9889502762430937
35,171.114295860249,449.80546460276076,101.23017966027756,40.532090814298456,3.1491712707182318
36,171.57684533158593,447.4264551693935,100.29545153025413,40.466073721670604,2.8176795580110494
37,170.37307387074873,447.5398258141477,100.89766444252031,40.67731217670477,3.314917127071823
38,170.48923847511338,444.5186298857069,100.79063127845521,40.56365967608108,3.6464088397790055
39,170.18598074192485,447.25029641809493,100.94176250078092,40.33688249463536,2.154696132596685
40,171.02532100358147,447.1106982085233,100.98486645663293,40.13384926484595,3.314917127071823
41,170.68098522562534,448.1291102166966,100.57307831161678,40.261925765008904,3.1491712707182318
42,171.1575797997107,449.18565235687106,101.17190743201745,40.24535411111382,3.480662983425414
43,171.3461651206447,446.754745218749,100.63630043686075,40.60243036059105,3.1491712707182318
44,170.86163747732292,447.13963743648026,100.55297939264904,40.3843760163445,2.4861878453038675
45,170.76036900802814,447.20517314520026,101.11011944453801,40.59845247192691,3.314917127071823
46,170.51634576992186,448.99462932997926,100.5427591521391,40.02459894730896,1.6574585635359116
47,170.9094650351622,446.1494494709303,101.0028238907967,40.319570215618505,2.6519337016574585
48,169.99798480165234,444.76615801867507,100.94138029050384,40.231877109540505,2.4861878453038675
49,170.4953327895571,444.68735714104065,101.16939520067584,40.26444452047357,4.143646408839779
50,170.5934658802972,447.24815585485067,100.5266544291476,40.18711028300599,2.320441988950276
51,170.8839716448242,444.5898349372079,100.8173025653059,40.391742557234586,3.812154696132597
